"title","state","category","description"
"Startling Knocks At My Window","South Carolina","Misc","This event happened last Tuesday morning (8-19-25).

I have a habit of being awake in the wee hours of the morning on a fairly regular basis. This particular morning I was up late working on some music projects. I had my earbuds in listening to a track when suddenly I heard 3 loud rapid knocks right at the window behind my bed's headboard.

It scared the living s#!+ out of me! Startled, I snatched out my earbuds and laid low for a brief moment wondering who in the h*! Could be knocking on my window at this time of the morning. This has never happened before so I'm there ducked down trying to process what just happened.

In those brief moments my mind is racing and I thought for a second could it have been one of my household relatives that went outside and perhaps locked themselves out? Then I thought could it be someone from around the neighborhood up to no good or perhaps needing something?

Then I thought that maybe I was hearing things, but the knocking was LOUD and I actually felt the THUD of the window. That's actually what got my attention, and it was loud enough that I heard it beyond my earbuds.

I quickly jumped out of bed and grabbed my pistol. I then slowly peeped out the blinds of the window to see if anyone was out there but oddly there was no one there.

That side of the house is well lit by a nearby street light and my car was right there next to that window. Still peeping out the window I looked around the car and waited to see if maybe someone was hiding behind it on the other side, but I didn't see anyone. I angled my gaze downward to see if anyone might have ducked down below the window alongside the house but no one was in sight.

I then went out of my bedroom and slowly peaked around the corner into the front room to see if by chance anyone else was awake and happened to make a loud noise which I thought was at the window, but came from another part of the house instead. However, I saw that they were all sound asleep, snoring loudly.

I then peaked out the blinds in the front room (where my relatives were sleeping) to look out in the yard but I saw no one in the yard. If someone were to flee it would've took them a few minutes to get far enough to exit the yard, and they would've been well in view of the street light.

I went back in my bedroom and looked at the clock on my laptop. I saw it was 2:48, right before 3am (which is said to be ""Witching Hour""). At this point I'm on edge and starting to think that it may have been something paranormal happening.

For the sake of protection I burned some sage and told whatever it was to leave me alone and return where it came from.

I laid back down in bed on edge for the remainder of the morning until daybreak, but nothing else ever did happen.

The following night came and I again, was awake in the wee hours. Naturally I was on edge waiting for something to happen again but nothing ever did.

Could it have been a ghost trying to get my attention?"
"Move To San Francisco, A Very Haunted City","California","Haunted Places","Ooookay, I was totally joking at the end of my last post when I said I'd post again in five years. But here it is, five years later. Looks like I'm going to be unintentionally posting every five years on here.

On 29 June 2021, I moved to San Francisco. It's where I'd always wanted to move, but couldn't for various reasons. Well, a really good friend of mine told me that I could live with them. They lived with their family and their family said I could stay until the end of the year, then I'd have to find my own place. That seemed perfectly fair.

In 2017, their grandmother passed away. I always assumed she passed away in the hospital because I remembered my friend telling me they rushed her to the hospital, and a few days later they told me she passed. But every time I was by the bathroom in front of her old room, I'd get this strange feeling there was a presence. That little hallway had that feeling. It didn't feel evil or scary, it actually felt calming. I told my friend, and they said, ""That's Baachan. She's watching over us"". My friend is Japanese and that's the term they call their grandmother. I asked if she passed in the hospital like I thought, and they said, ""No, she hated it there. We brought her home to rest in her own bed, and she passed away that night"".

However, the basement was another story. Or rather... First floor? Basements are weird here in San Francisco. In their house and the one I'm currently living, there are steps leading to second floor, which acts as the first floor. The ground floor is considered a basement even though it's fully above ground. I've lived here four years, and I'm still confused by it. I live on the third floor but it's technically the second floor...

Anyway, we had to go to the basement to do laundry. We never liked being down there because the air felt thick and evil. My friend's family had bought the house back in the 1950s and their mother had grown up in it, and she told me it was like that when she was a little girl. She hated being down there and doesn't go down there unless she has to. I asked if something happened down there and she said if it did it was before her family bought the house, but it definitely feels like some really bad energy is down there.

So, I got a job there, saved up and moved into my current house on 5 January 2022. I'm renting a room in a house, and it's a really nice neighbourhood in the Richmond. That's not doxing myself, the Richmond is fifty blocks long and like ten blocks wide. It's a very big area.

It didn't take me long to notice that the house was haunted. At least the hallway. Even in the daytime I feel like something is chasing me when I walk down it and I rush back to my room. A friend of mine looked up this address on SF Chronicles archives and found out there had been a murder here in the '80s. There weren't any specific details like if it was in the top floor hallway or something. But that's the only thing we found that could explain it.

There are four rooms on my floor. My room is at the end of the hall facing the outside. I look out my window and see the street. The room next to mine, there was someone living there when I moved out. He moved out a year into me living here and someone else moved in, he's still here. The room at the end of the hall, the same person has lived there since before I moved in. I mention all this to talk about the last room. I call it the middle room even though there are four rooms. I guess it'd be the middle room in that hall, since mine is at the end of the hall. Anyway, I've always called it the cursed room. The guy who was living there when I moved in moved out a month later. In the three and a half years I've lived in this house, we've had six different people move in and out. The short time was two weeks. I came home from work and he was moving his stuff out. I asked what was going on and he just said, ""I can't do this anymore"". I asked what he meant and he just repeated it. The current tenant there seems to be paranoid. When he moved in a couple months ago, he told me that he had to move out of his last place because his landlord was having the tenants spy on him. I was like, ""Oh, that's messed up!"". But then he started talking about hidden cameras in his room and I felt like maybe his last landlord didn't have him spied on. A couple weeks ago I was coming up the stairs from taking out the trash. His room is directly in front of the stairs, and as I was nearing the top, he opened his door and told me I needed to stop standing outside his door listening in. I was confused and he said, ""Don't bother denying it, I caught you three times"". The other way I was coming up the stairs from talking with a friend at the front door who had come to pick up something. As I was nearing the top he threw open his door and startled me. I laughed and told him he startled me. He goes, ""I told you to stay out of my room! You need to leave me alone!"". Honestly, I don't know if that has anything to do with the activity here or if he's just mentally ill, but I honestly wouldn't be surprised if there was a presence outside his room and he thinks it's one of us.

Something happened a couple of days ago that made me want to write all this down. Our bathroom is split between two rooms. Okay, from my room looking down the hall, on the left side are my roommates' rooms. On the left side is an empty closet, the stairs, and the two bathroom doors, and the kitchen at the end of the hall. The first bathroom is literally just the toilet, the size of a porta-potty. Really tiny. The second door is the shower and sink. It sounds inconvenient, but with four people living there, it's been very convenient. Anyway, a couple days ago I was in the first bathroom and I could hear someone taking a shower. I could see the light on, and the windows were open and I could very clearly hear the shower going. I was thinking to myself, ""I'll just wash my hands in the kitchen"", like we usually do in that situation. Well, I leave the bathroom, the sound still going and light still on through the window, and when I close the door behind me... The second bathroom door is open, and the light is off and no one is in there. No shower going, the floor and walls are dry. I stood there, my blood frozen. It was seriously eerie.

Okay, that's enough about my living haunting situations. I'll talk about my San Francisco working haunting situations. That's a weird wording, but I'm going to keep it.

First job I got was on Fisherman's Wharf at a souvenir shop standing outside going, ""Everything is $10!"". That was literally my entire job. That's the job that paid for me to move out of my friend's house. But a week after I moved into this house, the store abruptly closed. I frantically looked for another one and was lucky enough to find one with one day left in the month. My landlord is very understanding. It was an organic market on Polk, and I loved it there. A lot of the friends I have made here were either coworkers there or regular customers there. A minor celebrity was a regular there and she and I talked every week. It was so much fun working there! Even if it was haunted like crazy! There was the obvious stuff like stuff falling off shelves that weren't near the edge, stuff moving around or not where we left them. There were times we saw figures cross between aisles even though we knew no one else was in the store. I even had a similar experience that happened in Ohio. A coworker and I were discussing the hauntings, and a loaf of bread flew off the shelf and hit the counter. We decided to change the subject. The same thing happened in Ohio except it was a bag of chips.

In 2023 the store was bought by another, bigger store and closed down and we were all let go. I had saved up thousands of dollars by then, which was lucky because that paid my rent until I got another job in March 2024. My current job, in fact. I'm a photographer at a landmark. Obviously not going to say which one. We take pictures of guests as they enter and try to sell them souvenir sets of their photos as they leave. We all know the area is haunted, but it's hard to prove because we're outside. We just know mostly because we can feel it. There were two incidents that really solidified it, though. Several months ago, I opened up (I'm a lead there) and when I unlocked the office there were photo cards everywhere. I called the person who closed the night before and asked them what the heck happened. He was completely confused; it wasn't like that when he left. I knew he was lying so I had to report it to my district manager. An hour later she texted me a video showing that... It wasn't him. Oh, the photo cards are cards with QR codes we scan when we take the pictures and hand to the guests. There are 1,000 in each box. Anyway, there was an open box on the table in the office and in the middle of the night, they started flying out of the box of their own accord. I asked her if I could share the video and she said absolutely not. What's with corporate not wanting these things getting out? Honestly, I think that'd give us more visitors. 

The other thing that happened was we often hear our names called from behind the sales area. There will be no one over there and one of us will hear our name being called from back there. No one else can hear it, but almost all of us have heard it. Even the skeptical ones have heard it, though they have tried to dismiss it as the wind. But it even happens when the wind isn't blowing, or even no breeze. The air could be still and we'll still hear it. It's always eerie. I've been working there for a year and a half and have heard it many times and am not used to it. We had a sixteen-year-old girl start working there last year. I was standing next to her on her first night and she suddenly screamed. I jumped and asked what happened. She said, ""I heard someone saying my name!"" and she ran behind the sales area and screamed again because no one was back there. I involuntarily laughed and said, ""Oh, you'll get used to that"", even though like I said I'm still not used to it. Needless to say, she quit after about a week. She said it was because she hated working outside, though.

I'm going to end this by talking about something nobody likes talking about. I've walked the Golden Gate Bridge so many times now that I don't even take pictures every time anymore. It's just a large bridge that just happens to be one of the most famous in the world. No big deal. But as I'm sure everyone knows, it's well-known for the unfortunately high number of people who have jumped off of it over the course of its existence. I don't know if you've walked on it, but you can definitely feel it when you're walking on it. There's an air of sadness when you're walking across it. No matter what I'm doing, be it listening to happy music or in a call with my best friend, there's an unmistakable feeling of sadness, dread, and regret when walking on that bridge. I've never specifically seen anything, but I think it's because I'm kind of sensitive to that sort of thing that I feel it so much. I've walked it with a friend of mine once who isn't sensitive to the paranormal and she didn't feel anything. Heck, at this point, I don't even know if what I feel on the bridge is even paranormal anymore. There's been so many jumpers over the past century, those emotions are essentially baked in by now. They have nets in place now so there have been less attempts lately. Someone did jump a couple months ago. I saw him lying on the net refusing help. Last I saw, they were guiding him off. So, the nets are definitely saving lives. Either as a deterrent or by literally catching people who try.

I guess I'll see you all in five years lol."
"Is Someone Visiting?","Texas","Family / Friends Visits","It has been a VERY LONG time since I have visited YGS and had someone not reached out to me via FB I am not sure I would have returned, but here I am and a BIG thank you to the individual who reached out to me.

2024 was not a good year for myself or Family. In January we saw the passing of my Mother. Her health had been in decline (heart issues) and was in assisted living in the Dallas Tx area. In May we received the 'midnight' phone call that wakes you from your peace. My Oldest Son (Lawrence) had collapsed at work, he worked 3rd shift (overnights) at a Local Floor and Decor, and was pronounced dead at the scene. He had suffered a Bi-lateral pulmonary embolism. My Father -in-Law, who's health was failing (Type 1 Diabetes Complications) moved in us in June, by the first week of August he was placed on Home Hospice and passed away later that same month (yes, he passed in my house). 

In the year since, some 'odd' things have happened either to individuals in the household or with-in the house itself. 

1st: When home alone I hear someone moving upstairs in my Son's old room. I 'played' it off as it being our dog (a 13-14 year old 50-60 pound Huskey with a bad hip) only to realize he was at my feet as I sat on the couch. A quick 'cat check' shows that both of out cats are also in the living room with me. 

2nd: Each Family member has felt Lawrence's presence at one time or another, up to and including hearing his voice saying something... Not sure if this is just us remembering how he would speak with us or if he is actually interacting with us still, but it's defiantly his 'sarcastic' / snarky type comments. 

3rd: Not sure how people feel about seeing individuals that have crossed over in their dreams, but my Wife has had two very vivid dreams about Lawrence, she describes them as 'feeling' real. The first one he was comforting her because he had passed away, he assured her that 'he was needed' on the other side... The next day is when we received the coroner's report detailing what had caused his death... A pulmonary embolism, is enough to take someone, he had suffered a Bi-Lateral (one in both Lungs) Pulmonary Embolism and there was nothing that could have been done to prevent it. The other dream she described was 'just as real' but he was simply comforting her, at least that's all she could remember about it. 

So, there it is... 2024 was a very rough year for our Family, still dealing with so, so many things from last year, but making progress. Thanks for reading."
"Spirits From Ripley's","Florida","Ghost Tours & Haunted Hotels","Ripley's Believe It Or Not seems to have more than just artifacts from different locations around the world. Some seem to be there from the Paranormal Realm, which I had the opportunity to investigate and experience.

Just like at the Old Jail, you go through a little bit of an introduction, a run over of the gear that they have to let you use, then you are released to investigate the building. I was not expecting all the activity that we had the opportunity to witness, and it definitely itched the scratch of wanting to get some interactions to see if there was paranormal activity.

This location gave more EVP evidence than anything else. Which part of it was receiving the name Steve a few times. Then there was a time frame where it said ""switch"", which I was there with a friend, and asked if it wanted me to hand the spirit box to my friend, which we received the response ""yes"" and it then proceeded to whistle at him a few times.

At this location, we were not receiving very many spirit orbs, but was a lot more heavy on the Voice Phenomena when we were asking questions. Now the one time that I had some concern was mentioning that I was going to go downstairs, and got a very heavy, deep, angry sounding NO! Response through the spirit box, which, much to say, I did not go downstairs at that point.

Then towards the end of the investigation, we were standing in one of the exhibits and received the response ""Die"" or ""Will Die"" and at that point my buddy as well as myself were like, nope we are stepping out of this room and going elsewhere.

Either way, that was my first investigation before doing the Old Jail investigation and hope that you guys enjoyed reading this."
"Ghosts Of The Old Jail","Florida","Ghost Tours & Haunted Hotels","Good Morning/Afternoon/Evening.

I figured I would share a story of one of the experiences that I have had in my life, that I feel like was the most interesting encounters that I have had to this day.

A friend and myself had gone to St. Augustine in Florida, and while there, noticed that the old jail had these paranormal investigations that you could pay to go on at night. Now to start it out, they didn't give too long in there. If I remember correctly you would be allowed to investigate on your own, but after receiving a short introduction and a quick run through of the equipment that they would let you use while there. All together I think we were allowed like 30-45 minutes for the investigation after all the intro and run through with the equipment was done.

But this was my second time doing an investigation, and the whole time they were doing the introductions outside, I could feel some eyes on me from inside the old jail. I remember it was the second floor off to the left side as you look at the Old Jail from outside. Then when we walked inside, we were able to get our hands on some equipment and investigate.

So we started out in the kitchen, and were not really receiving anything there, and proceeded to move over to the cells and see what was out there. Which we didn't really receive anything there, and proceeded to go to the Solitary Confinement Cells. That is where the real stuff kicked off. We didn't capture any EVP's but we did receive spirit orbs (which I had caught on camera) and there was a point when I captured the sounds of feet shuffling on camera.

Now with that, we kept getting spirit orbs every time when we would mention the sheriff, and then we went up to where the sheriff lived when he was over the prison, and caught more spirit orbs as well. When we were checking around in there, I had stepped to the side and received a tug on my shirt, which kind of startled me.

That was one of two investigations that was done in St. Augustine and will be writing the story of the other investigation that we had done, and would love to share that story with you guys as well. Also in regards to the story, if there is interest in seeing the video footage from the old jail, I have those uploaded on my YouTube channel, and can share that link with those that are interested in it."
"The Haunting Of Willows Apartments","Nebraska","Haunted Places","I'm here to talk about my experiences as a kid in the Willows Apartments. I'm not sure why no one talks about them much, but that place is hell. 

When I was just 9-10 years old, I had a very bad experience and very negative. My mom had stayed here when we moved in, I knew something was badly off. I started noticing it when mom would get angry more and easier. I knew being a single parent was bad enough and ever since I was a kid, I'm a magnet for spirits and demonic entities. It's terrifying when you're just a kid. 

It started off when moms' emotions would increase, the smallest things could set her off. I could understand why maybe it was stress until... That quickly changed. Started to hear footsteps at night, knockings, slamming kitchen cabinets would wake me up. I thought it was mom, but I would get up and to find her always fast asleep.

 One day a childhood friend of mine came to stay the night little did I know that was the last night we stayed there; we encountered evil. My friend and I were in the bedroom playing with toys, when all the sudden I saw a shadow dark run across the wall. I pointed at it and asking her did you see that she looked at me in fear like she saw the whole thing not just a shadow. I screamed for my mom, tears down my face, ""I saw it! I saw a shadow!""

 My mom saw my fear and felt it. She contacted her close friend and we cleansed what we could of out apartment and never looked back.

 Later that week mom found out that the buildings were built on very bad Indian burial ground, many deaths followed, and the apartments continue to haunt the living to this day."
"Unexpected Messages From Loved Ones","Georgia","Photographs / Videos / EVP","It's been a longtime away from the site, just busy but I'm now officially an empty nester and had some extra time to catch up with you all here. 

I wanted to document two recent instances of EVPs that just happened unexpectedly, plus something related to the empty nester thing. 

First, I was videoing some birds gathering in a tree in my back yard in early spring. They were making a ton of noise eating on the berries and I thought to send the video to my husband at work so walked out to record them. On the way back inside, as it was cold, I yet again didn't tap the off button properly to turn off the video recording (I'm so bad with my phone) so ended up with footage of the birds and the ground as I was walking back inside. But upon playback, as I'm crossing the patio, one can hear a fairly obvious EVP of a voice saying, ""OOH RAH,"" which is what U.S. Marines say... All the dang time. My late husband Scott was a Marine (as is my current husband). If current husband had been in the house, I might conclude the voice was his, but this morning he was already AT WORK. I can't imagine any of my elderly neighbors hollering like a Marine, so I'm left thinking it was Scott, yet again finding a way to be heard on a random day. He died from brain cancer in 1993 at age 32.

Then, last week, went to visit family graves at the cemetery where my aunt was recently interred. Scott's plot is just across the small interior street from my mom's. You can stand at mom's grave and see his and vice versa. Anyway, I decided to record as I walked up, because last time I was there I got an EVP. This visit, a woman's voice on video says, ""It's a woman"" as I'm walking to the gravesite. I stand there a minute and look over to Scott's grave and pretty sure there was a tear falling as I walked back down a slight hill to my car. The same woman's voice says, ""It's ok"" on my video recording. Easily heard, much appreciated.

Finally, Mom had given me a silver bracelet at the time of her diagnoses with cancer in 2013. I'm not much for jewelry, but I wore this bracelet every day. Sometime at the beginning of the covid lockdown, I lost it. Obviously not going anywhere, but it just sort of disappeared and over the last four years I've looked everywhere and yes, it did cross my mind that it was significantly from my mom. 

Well, I have four kids and the last of them graduated from high school this spring. I've been raising kids 36 years and am 64 now, so it's going to be great as these last two finish college and join their siblings in adulthood. We had a large graduation party and that day I went into the closet where Mom's china (she left me) is kept to get a platter. I had to move a silver gravy boat out of the way to get to it and guess what just happened to be in the gravy boat? Right -- Mom's silver bracelet! Found on the day of the last kid's graduation, an occasion I know Mom would've loved. There is NO reason for that bracelet to have been there these last four years! I can't help but think it was yet another message from Mom."
"My Grandma's House","Louisiana","Haunted Places","My grandpa passed away at my grandma's house. Soon after my cousin moved in and I would go sleep over every now and then.

I was playing video games and I got hungry. My room was at the end of the hall and the room next to me was my grandma's. I usually check on her so I did and I heard my cousin at the other end of the hallway screaming at the game like always. I went make some ramen and go get my phone.

 I heard a loud noise from the kitchen and like I'm standing in front the bedroom door looking down the hall. I check on my grandma, she's sleeping and my cousin was still screaming. I end up calling my friend and telling them and I go check it out.

 There was a jug (it's a jug you have to go get filled at the store) it was a water dispenser. It's was a big one and it was empty, no way it could have gotten blown off and where it was made no sense. The jug is by the back door rocking back and forth like somebody threw it. The kitchen table is against the wall and to the right is a door way and to the right in that room is the laundry room but if you look straight through the door frame it's the back door. The way it landed and the way it had to have been thrown was far. I think it was my grandpa. 

I told my mom she said her and my dad was showering once over there and no one was home and she heard HEY! In a little girl's voice. I don't know if this is related or if that thing that threw that jug was grandpa cuz it happened after he died.

 I use to live with my grandma I never experienced anything at her house but that's the only ghost experience that I had. This is what led me to believing in ghost."
"Oklahoma City Ghosts Part 2","Oklahoma","Haunted Places","My husband had to be at work at 5:30 in the morning and there were times I stayed up and there was times I went back to sleep. The nights I would go back to sleep were the creepiest because I would lay in bed tossing and turning for awhile and there was one time I heard our front door open and close and I heard the person walk in hallway and into our room. I'm thinking oh it's just my husband forgetting something and I'm ready to hear him but I heard a woman and a man talking. I was so scared because I was like oh my gosh they are robbing us! These people waited for my husband to leave to come inside and rob us! I was so terrified that I was so still I didn't even want to breath because I did not want them to know I was in the room. They started to look in our drawers and in the closet and I was a little confused because it was pitch dark in our room. I mean you could not see anything and they didn't have flashlights. I was awake and my eyes were wide open.

 I ended up falling asleep and this was happening every time my man left. There was one morning where I was some what awake and I saw this bright light appear and it lit up our entire room. I got so spooked that I sat up in bed calling out to my husband and he wasn't there. I quickly got up and turned on the lamp and just sat there in bed looking around and after that night I slept with the lights on after he left. I still sleep with lights on,"
"Oklahoma City Ghosts Part 1","Oklahoma","Haunted Places","I started to ask my daughter about Robert because after that dream of mine I started to think that this Robert business was something more frightening. I asked who Robert was and she told me that he sometimes comes out of their closet at night. She told me that Robert was nice and that he is always telling her not to be afraid of him that he wasn't there to hurt but to protect her. I asked what he looked like and she said that he was a white man that was bald and his clothes were very dirty. When she told me that he was there to protect her I was a little confused because why would she scream for me in the middle of the night saying that Robert was scaring her. This started to happen almost every night and I even told my husband at the time that I didn't want my kids sleeping in there because they were having nightmares. He told me that they're kids and they watch to many scary movies. So our poor kids had to sleep in that room.

 Every morning I would wake up at 4:00 to make my husband's lunch and when he went to work I decided to stay awake and take a shower. While I was taking a shower I clearly heard a male and a female yelling and arguing outside the bathroom door. I was so scared and spooked that I immediately turned the water off and stood in the shower to hear who the hell was in my house. It was dead quiet. I turned the water back on and again I heard them. I started to think ok no one is in my house and I'm hearing these people fighting, I have to be hearing things. I started to realize that..."
